
                        **********************************
                        **********************************
                        ***                            ***
                        ***     Program ARSTAN_v48     ***
                        ***                            ***
                        ***       Creation Date:       ***
                        ***          03/17/16          ***
                        ***                            ***
                        ***       Programmed by:       ***
                        ***     Dr. Edward R. Cook     ***
                        ***       Paul J. Krusic       ***
                        ***    Tree-Ring Laboratory    ***
                        ***  Lamont-Doherty Earth Obs. ***
                        ***    Palisades, N.Y. 10964   ***
                        *** drdendro@ldeo.columbia.edu ***
                        ***    pjk@ldeo.columbia.edu   ***
                        ***  www.ldeo.columbia.edu/trl ***
                        ***                            ***
                        **********************************
                        **********************************

 |==============================================================================|

 overall run title:                                                                                 

 file names file processed:       Smithsonian_arstan_files.txt                                
 data file processed:             fram_drop.rwl                                               
 log file processed:              fram_drop.rwl_log.txt                                       

                       opt          plt
 tree-ring data type    1                !tucson ring-width format                         
 missing data in gap   -9            0   !missing values estimated (no plots)              
 data transformation    4            0   !spread/level power transform (no plots)          
 first detrending       2     20     0   !1st-neg expon curve (k>0), no = opt 5            
 second detrending    -67      0     0   !2nd-spline curve (pct n 50% cutoff)              
 robust detrending      1                !non-robust detrending methods used               
 interactive detrend    0                !no interactive detrending                        
 index calculation      2                !residuals or differences (rt-gt)                 
 ar modeling method     1      0     0   !non-robust autoregressive modeling               
 pooled ar order        0            0   !minimum aic pooled ar model order fit 
 series ar order        0                !pooled ar order fit to all series                
 mean chronology        2   0    0   0   !robust (biweight) mean chronology                
 stabilize variance     1                !rbar weighted stabilization method               
 common period years     1950 2000       !first and last years of common period            
 site-tree-core mask       SSSTTC        !site-tree-core separation mask                   
 running rbar              40   20   0   !running rbar window/overlap (no plots)           
 printout option        2                !summary & series statistics printed              
 core series save       1                !series saved in tucson raw data format           
 summary plot displays  3                !spaghetti and mean chronology plots              

 stand dynamics stuf    0            0   !no stand dynamics analyses done                  
 running mean window    0                !running mean window width                        
 percent growth change  0                !percent growth change threshold                  
 std error threshold    0                !standard error limit threshold                   

 |======================== raw data statistical analyses =======================|

 |------------------- tree-ring series read in for processing ------------------|

  data header lines:

 |------------ series gaps found based on any negative number found ------------|
       *** when data are transformed, zeros are also treated as missing ***

        series      ident      results of scans for gaps or missing values

                           --- no gaps in data found ---

 |------------------ statistics of raw tree-ring measurements ------------------|

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
     1   121455A  1916   2016    101   0.713   0.435  1.279  4.251  0.314   0.758
     2   192697   1937   2009     73   1.784   0.650  0.943  2.954  0.197   0.629
     3   142178   1893   2009    117   1.877   1.087  2.224  8.787  0.247   0.816
     4   171358   1958   2009     52   1.770   0.426  2.732 10.864  0.169   0.476
     5   202536   1926   2009     84   1.754   0.807  1.508  5.255  0.219   0.772
     6   161024   1870   2009    140   1.527   0.548  1.787  9.558  0.176   0.643
     7   172575   1934   1999     66   1.386   0.538  1.863  6.481  0.228   0.426
     8   182396   1895   2009    115   1.078   0.357  0.547  2.929  0.204   0.719
     9   101292   1896   2007    112   2.038   0.925  1.529  5.171  0.171   0.842
    10   182678   1931   2009     79   0.877   0.315  1.349  5.345  0.275   0.344
    11   192707   1935   2009     75   1.480   0.854  1.469  4.984  0.216   0.841
    12   171421   1922   2007     86   1.343   0.537  0.724  2.912  0.270   0.617
    13   12303    1946   2009     64   1.978   0.709  0.216  2.342  0.190   0.777
    14   192641   1915   2009     95   0.936   0.558  0.921  2.886  0.257   0.696
    15   10539    1882   2009    128   1.371   0.569  1.159  4.429  0.192   0.724
    16   12267    1974   2007     34   2.037   0.905  1.316  4.440  0.243   0.705
    17   141124   1949   2007     59   1.153   0.624  1.711  6.541  0.341   0.510
    18   142703   1948   2004     57   1.524   0.887  1.819  7.581  0.266   0.667
    19   202775   1885   2009    125   2.498   0.562  1.422  7.921  0.152   0.531

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    20   152659   1938   2006     69   0.939   0.486  1.631  5.985  0.214   0.767
    21   132525   1925   2009     85   2.101   1.014  1.350  4.319  0.152   0.834
    22   40131    1892   2009    118   2.085   0.788  1.870  6.156  0.184   0.754
    23   140881   1914   2009     96   2.367   1.583  1.709  5.686  0.211   0.776
    24   150048   1948   2009     62   3.061   1.149  0.281  3.666  0.372   0.281
    25   40934A   1943   2009     67   0.891   0.601  0.442  2.043  0.275   0.834
    26   40935A   1920   2015     96   1.213   0.545  0.609  3.082  0.185   0.788
    27   80481A   1956   2013     58   0.610   0.281  0.710  3.537  0.259   0.683
    28   102453A  1933   2014     82   1.016   0.469  0.289  3.208  0.250   0.735
    29   111290A  1899   2014    116   1.234   0.666  1.742  6.207  0.143   0.912
