 num = number of series             ident = series identification
 ify = first year of time series      ily = last year of time series
 yfp = years from pith for rcs        itn = transform (>3 = power*1000)
 idt = series detrending options      ips = series ar model order options
 isb = stabilize variance options     icu = use (1) or do not use (0)
 ics = save (1) or do not save (0)    cpa = common period analysis series
                   -- do not delete these lines --
 num  ident      ify   ily   yfp   itn   idt   ips   isb   icu   ics   cpa
   1  60059     1902  2009     0     4   -67     0     0     1     1     1
   2  70065     1929  2009     0     4   -67     0     0     1     1     2
   3  80625     1901  2008     0     4   -67     0     0     1     1     3
   4  90522     1905  2002     0     4   -67     0     0     1     1     4
   5  121105    1906  2009     0     4   -67     0     0     1     1     5
   6  131113    1907  2009     0     4   -67     0     0     1     1     6
   7  91327     1935  2009     0     4   -67     0     0     1     1     7
   8  70332     1891  2009     0     4   -67     0     0     1     1     8
   9  90542     1868  1992     0     4   -67     0     0     1     1     0
  10  60252     1878  2008     0     4   -67     0     0     1     1    10
  11  80301     1890  1997     0     4   -67     0     0     1     1     0
  12  50244     1921  2008     0     4   -67     0     0     1     1    12
  13  70256     1956  2008     0     4   -67     0     0     1     1     0
  14  91487     1917  2004     0     4   -67     0     0     1     1    14
  15  70152     1916  2008     0     4   -67     0     0     1     1    15
  16  50246     1901  2004     0     4   -67     0     0     1     1    16
  17  30567A    1932  2013     0     4   -67     0     0     1     1    17
  18  30567B    1936  2013     0     4   -67     0     0     1     1    17
  19  70626A    1930  2006     0     4   -67     0     0     1     1    18
  20  100961    1969  2007     0     4   -67     0     0     1     1     0
  21  100974    1936  2005     0     4   -67     0     0     1     1    20
  22  91391     1900  2001     0     4   -67     0     0     1     1    21
  23  111094    1931  2009     0     4   -67     0     0     1     1    22
  24  60172     1880  2007     0     4   -67     0     0     1     1    23
  25  92183B    1965  2010     0     4   -67     0     0     1     1     0
  26  40522     1930  2010     0     4   -67     0     0     1     1    25
  27  80288     1906  2006     0     4   -67     0     0     1     1    26
  28  131032    1880  2009     0     4   -67     0     0     1     1    27
  29  60386     1902  2009     0     4   -67     0     0     1     1    28
  30  111212    1952  2009     0     4   -67     0     0     1     1     0
  31  92183A    1952  2016     0     4   -67     0     0     1     1     0
  32  152053A   1923  2015     0     4   -67     0     0     1     1    30
  33  100680    1931  2007     0     4   -67     0     0     1     1    31
  34  112256A   1955  2015     0     4   -67     0     0     1     1     0
  35  172210A   1938  2014     0     4   -67     0     0     1     1    33
  36  172210B   1938  2011     0     4   -67     0     0     1     1    33
  37  91321     1881  1996     0     4   -67     0     0     1     1     0
  38  70269     1890  2009     0     4   -67     0     0     1     1    35
  39  121088    1902  2009     0     4   -67     0     0     1     1    36
  40  101159r   1871  2002     0     4   -67     0     0     1     1    37
  41  172218Ar  1907  2009     0     4   -67     0     0     1     1    33
