"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0,3,1,2,0,1,4,2,2,1,0,1,2,1,3,1,0
"dtr",0,2,0,1,1,1,1,1,0,0,0,1,1,1,0,0,2
"pet",0,2,0,1,1,1,0,0,0,1,0,0,2,1,0,1,1
"PETminusPRE",0,0,1,1,0,2,2,0,2,1,0,0,0,0,0,1,2
"pre",2,0,1,0,1,3,2,0,2,2,1,0,0,1,0,1,3
"tmn",0,0,1,0,1,2,1,0,2,1,1,1,0,0,0,3,1
"tmp",0,0,1,1,1,1,0,0,2,1,0,1,1,0,0,0,2
"tmx",0,0,1,1,0,2,0,0,2,1,0,1,1,0,0,0,2
"vap",0,0,1,0,1,0,1,0,3,1,1,1,1,0,1,1,1
"wet",3,0,0,0,0,3,2,0,2,3,1,0,0,3,0,1,1
"PDSI_prewhiten",1,0,1,1,0,2,1,0,1,2,1,1,0,2,0,2,2
