"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",9,0,3,1,11,9,11,13,12,6,12,13,4,13,14,11,10
"deficit",4,13,11,9,3,2,12,2,4,11,3,3,10,0,0,1,0
"dtr",4,14,11,11,6,1,3,3,0,6,1,1,11,1,0,2,0
"pet",4,13,7,12,8,2,5,1,2,6,1,2,12,0,0,1,0
"pre",10,1,3,5,12,10,2,12,11,3,10,10,4,14,14,13,14
"tmn",8,8,7,9,12,8,10,10,9,6,6,7,10,1,3,8,5
"tmp",8,10,8,10,11,5,8,5,8,5,5,5,11,0,1,3,2
"tmx",7,11,8,9,9,3,4,3,5,5,4,3,11,0,0,1,0
"vap",11,7,11,6,12,9,8,13,9,4,9,11,9,2,4,10,12
"wet",10,0,3,6,12,9,4,12,10,2,10,11,4,14,14,13,14
"PDSI_prewhiten",4,1,3,8,10,12,6,9,9,5,12,13,7,12,14,13,14
