"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",0,1,0,2,0,2,2,1,2,0,0,3,2,3,0,1,3
"dtr",0,2,1,1,0,3,2,1,2,0,1,3,3,1,1,5,4
"pet",0,0,0,2,0,3,1,9,6,0,0,2,1,3,4,4,0
"PETminusPRE",0,1,0,0,0,0,0,0,2,2,0,3,1,1,2,9,6
"pre",0,1,0,0,0,0,0,0,1,2,0,1,2,2,2,8,8
"tmn",5,0,0,1,0,1,0,0,1,0,0,0,1,6,0,0,0
"tmp",2,0,0,3,0,0,0,0,1,0,0,0,1,7,0,0,0
"tmx",0,0,0,3,0,2,0,0,1,0,1,2,1,4,1,3,0
"vap",7,0,5,0,0,0,1,2,3,0,0,1,0,0,0,1,1
"wet",0,1,0,0,0,0,1,0,1,1,0,3,1,0,2,10,6
"PDSI_prewhiten",1,1,0,0,0,3,2,0,1,1,0,4,1,1,0,9,7
